"","pe_class","enjoy_pe","veggies","fruit"
"246",2,"5","1","2"
"247",2,"6","2","3"
"248",2,"6","3","7"
"249",2,"6","5","5"
"250",2,"5","2","7"
"251",2,"5","1","2"
"252",2,"1","2","2"
"253",2,"1","2","5"
"254",2,"4","1","2"
"255",0,"","",""
"256",2,"6","7","6"
"257",2,"1","1","1"
"258",2,"3","6","7"
"259",2,"1","1","2"
"260",2,"1","1","7"
"261",2,"6","1","4"
"262",2,"5","1","2"
"263",2,"1","7","2"
"264",1,"1","3","2"
"265",2,"4","2","2"
"266",2,"1","2","1"
"267",2,"6","2","6"
"268",1,"5","6","5"
"269",2,"6","4","5"
"270",1,"5","2","3"
"271",1,"4","3","3"
"272",2,"5","2","2"
"273",2,"6","3","3"
"274",2,"6","1","5"
"275",2,"4","2","2"
"276",2,"2","6","6"
"277",2,"4","2","1"
"278",2,"4","1","2"
"279",1,"1","1","1"
"280",2,"1","1","3"
"281",2,"","",""
"282",2,"5","3","2"
"283",2,"4","5","7"
"284",2,"5","2","2"
"285",2,"6","1","1"
"286",2,"6","2","4"
"287",2,"4","",""
"288",2,"1","2","2"
"289",2,"4","2","2"
"290",2,"5","1","2"
"291",2,"5","1","5"
"292",2,"2","2","4"
"293",2,"4","1","3"
"294",2,"1","2","3"
"295",1,"1","1","5"
"296",1,"5","6","3"
"297",2,"5","1","2"
"298",2,"5","2","2"
"299",2,"3","1","1"
"300",2,"5","1","1"
"301",2,"4","1","2"
"302",2,"1","4","7"
"303",1,"2","1","4"
"304",2,"1","1","2"
"305",2,"5","1","1"
"306",2,"5","3","5"
"307",1,"5","4","4"
"308",2,"4","2","4"
"309",2,"1","1","7"
"310",2,"5","2","2"
"311",1,"5","2","5"
"312",2,"1","2","2"
"313",2,"1","2","3"
"314",1,"6","2","3"
"315",2,"1","1","5"
"316",2,"1","1","2"
"317",1,"6","1","3"
"318",2,"5","1","5"
"319",1,"5","2","3"
"320",1,"5","4","7"
"321",2,"1","1","1"
"322",1,"5","7","3"
"323",1,"5","1","2"
"324",1,"4","1","2"
"325",1,"6","2","4"
"326",1,"4","2","4"
"327",1,"5","1","2"
"328",1,"5","1","6"
"329",2,"1","2","3"
"330",1,"5","5","3"
"331",1,"5","1","2"
"332",1,"6","2","4"
"333",2,"5","1","2"
"334",1,"4","2","4"
"335",2,"1","2","3"
"336",1,"1","1","2"
"337",2,"1","1","6"
"338",2,"4","3","3"
"339",2,"1","2","5"
"340",2,"6","3","4"
"341",2,"1","3","2"
"342",1,"5","2","2"
"343",1,"6","1","1"
"344",2,"5","5","5"
"345",2,"5","2","3"
"346",1,"6","1","2"
"347",2,"5","2","6"
"348",2,"6","1","5"
"349",1,"6","1","4"
"350",2,"1","1","6"
"351",2,"5","1","2"
"352",2,"1","1","3"
"353",1,"6","1","1"
"354",2,"4","1","2"
"355",2,"1","2","5"
"356",2,"5","2","3"
"357",1,"6","4","4"
"358",2,"5","1","5"
"359",1,"5","1","2"
"360",2,"1","1","3"
"361",1,"6","3","2"
"362",2,"5","2","4"
"363",1,"6","1","2"
"364",2,"2","1","1"
"365",1,"5","1","3"
"366",1,"6","2","4"
"367",1,"5","1","2"
"368",2,"1","2","3"
"369",2,"6","2","6"
"370",2,"3","1","3"
"371",1,"6","2","3"
"372",2,"5","1","2"
"373",1,"5","1","3"
"374",2,"1","2","3"
"375",1,"6","2","4"
"376",2,"6","3","5"
"377",2,"5","2","4"
"378",2,"5","4","5"
"379",1,"5","1","3"
"380",2,"4","1","2"
"381",0,"6","3","4"
"382",2,"1","2","3"
"383",1,"6","1","2"
"384",1,"5","1","3"
"385",2,"4","2","3"
"386",2,"5","2","2"
"387",2,"5","1","3"
"388",2,"1","1","1"
"389",2,"5","5","3"
"390",2,"5","1","2"
"391",2,"5","1","2"
"392",2,"6","2","3"
"393",2,"5","1","3"
"394",1,"6","4","4"
"395",2,"4","1","2"
"396",2,"5","4","5"
"397",2,"5","1","2"
"398",2,"1","2","2"
"399",1,"6","2","5"
"400",1,"5","3","6"
"401",1,"6","1","4"
"402",1,"6","3","5"
"403",2,"3","1","5"
"404",2,"5","2","3"
"405",2,"1","2","2"
"406",2,"1","2","3"
"407",1,"6","1","2"
"408",2,"4","1","2"
"409",2,"5","1","1"
"410",1,"6","1","4"
"411",1,"5","2","2"
"412",2,"5","4","1"
"413",2,"5","4","5"
"414",2,"4","2","3"
"415",1,"4","1","2"
"416",1,"6","2","2"
"417",2,"4","4","6"
"418",2,"5","2","2"
"419",1,"6","2","6"
"420",2,"6","2","4"
"421",2,"5","1","2"
"422",2,"1","1","3"
"423",2,"5","1","2"
"424",2,"1","1","1"
"425",1,"5","2","3"
"426",1,"1","1","2"
"427",1,"6","2","4"
"428",2,"1","2","3"
"429",2,"1","1","3"
"430",2,"2","","2"
"431",1,"6","3","6"
"432",1,"1","1","2"
"433",1,"5","2","7"
"434",0,"","",""
"435",1,"5","1","1"
"436",1,"6","1","7"
"437",2,"6","2","4"
"438",2,"6","1","2"
"439",2,"6","6","5"
"440",1,"1","2","6"
"441",2,"1","1","7"
"442",2,"6","2","3"
"443",1,"6","1","2"
"444",1,"5","1","1"
"445",2,"5","2","5"
"446",2,"6","1","1"
"447",1,"5","3","4"
"448",1,"4","1","7"
"449",1,"2","1","4"
"450",1,"5","2","1"
"451",1,"5","1","4"
"452",2,"1","2","2"
"453",2,"1","1","1"
"454",2,"5","",""
"455",2,"6","2","4"
"456",2,"1","3","7"
"457",2,"1","1","6"
"458",2,"4","7","6"
"459",2,"4","2","6"
"460",1,"3","1","1"
"461",1,"5","2","3"
"462",2,"4","1","7"
"463",0,"6","1","2"
"464",1,"3","1","3"
"465",2,"5","2","6"
"466",2,"1","2","1"
"467",2,"1","1","2"
"468",2,"6","1","3"
"469",2,"5","2","2"
"470",2,"3","2","7"
"471",2,"4","1","1"
"472",1,"5","2","3"
"473",1,"6","1","3"
"474",1,"4","1","2"
"475",2,"3","4","6"
"476",1,"3","2","4"
"477",2,"1","3","4"
"478",2,"1","2","4"
"479",1,"5","2","2"
"480",1,"3","1","3"
"481",2,"5","5","6"
"482",1,"5","1","1"
"483",2,"6","1","2"
"484",1,"6","2","5"
"485",2,"4","1","2"
"486",1,"5","2","1"
"487",2,"4","2","5"
"488",2,"5","2","2"
"489",2,"4","1","2"
"490",2,"6","2","5"
"491",1,"5","1","2"
"492",2,"1","2","3"
"493",2,"5","2","2"
"494",1,"6","1","4"
"495",1,"5","2","2"
"496",1,"4","1","2"
"497",2,"1","3","3"
"498",1,"5","4","3"
"499",1,"6","1","2"
"500",1,"5","2","3"
"501",1,"5","2","6"
"502",2,"6","3","4"
"503",2,"6","1","5"
"504",2,"5","2","2"
"505",2,"5","1","3"
"506",1,"3","3","6"
"507",2,"4","2","5"
"508",2,"1","1","1"
"509",1,"6","1","3"
"510",1,"6","2","5"
"511",2,"6","2","4"
"512",2,"","1","2"
"513",2,"1","1","7"
"514",1,"5","2","2"
"515",0,"","2","5"
"516",2,"1","4","7"
"517",0,"","",""
"518",1,"6","1","3"
"519",2,"5","2","2"
"520",2,"4","1","5"
"521",2,"5","1","2"
"522",2,"6","1","1"
"523",1,"1","1","2"
"524",2,"3","1","3"
"525",2,"5","2","2"
"526",2,"1","5","5"
"527",1,"4","2","2"
"528",2,"6","5","6"
"529",2,"1","2","2"
"530",2,"2","2","3"
"531",2,"6","2","2"
"532",1,"5","2","5"
"533",2,"4","2","5"
"534",2,"6","1","2"
"535",2,"5","3","5"
"536",1,"6","7","7"
"537",1,"1","2","5"
"538",2,"5","2","5"
"539",2,"6","2","3"
"540",2,"1","2","4"
"541",2,"6","1","4"
"542",2,"6","3","4"
"543",2,"6","2","4"
"544",2,"5","2","2"
"545",1,"5","2","3"
"546",2,"5","2","6"
"547",2,"5","2","2"
"548",2,"1","2","3"
"549",2,"2","1","3"
"550",1,"6","1","4"
"551",2,"6","3","3"
"552",2,"4","1","4"
"553",2,"5","2","3"
"554",2,"1","1","7"
"555",2,"4","2","2"
"556",2,"2","5","6"
"557",1,"4","1","4"
"558",1,"5","2","4"
"559",1,"6","2","3"
"560",1,"6","1","2"
"561",2,"1","3","2"
"562",2,"5","2","3"
"563",2,"2","3","4"
"564",1,"6","2","4"
"565",1,"6","1","2"
"566",1,"6","3","6"
"567",2,"4","2","5"
"568",1,"5","1","2"
"569",2,"5","2","4"
"570",2,"2","3","5"
"571",2,"1","3","3"
"572",2,"5","1","3"
"573",2,"4","1","2"
"574",1,"6","2","2"
"575",2,"6","2","2"
"576",1,"6","4","6"
"577",2,"1","","3"
"578",1,"5","6","5"
"579",1,"6","2","3"
"580",2,"1","2","3"
"581",1,"5","2","3"
"582",1,"6","2","5"
"583",1,"5","1","2"
"584",1,"5","2","4"
"585",1,"6","2","3"
"586",1,"6","2","2"
"587",2,"4","2","5"
"588",1,"6","2","5"
"589",2,"4","1","6"
"590",1,"5","2","1"
"591",1,"5","2","5"
"592",2,"1","2","2"
"593",2,"6","3","2"
"594",1,"6","3","7"
"595",2,"6","2","2"
"596",2,"2","3","4"
"597",2,"4","3","3"
"598",2,"1","7","7"
"599",2,"4","2","2"
"600",1,"6","2","2"
"601",1,"1","2","2"
"602",2,"5","3","5"
"603",2,"1","2","5"
"604",2,"5","3","2"
"605",2,"5","1","3"
"606",2,"1","2","4"
"607",2,"6","4","4"
"608",2,"1","2","5"
"609",2,"4","4","3"
"610",2,"6","1","2"
"611",2,"5","2","4"
"612",1,"5","1","4"
"613",2,"5","2","5"
"614",2,"4","1","6"
"615",2,"6","2","2"
"616",2,"1","1","2"
"617",2,"5","1","3"
"618",2,"5","1","2"
"619",2,"5","2","4"
"620",1,"4","1","2"
"621",2,"5","1","3"
"622",2,"4","2","4"
"623",2,"2","3","6"
"624",2,"5","7","7"
"625",2,"4","1","3"
"626",2,"1","1","3"
"627",2,"5","2","5"
"628",2,"5","3","4"
"629",2,"5","1","5"
"630",2,"5","2","5"
"631",2,"5","1","5"
"632",2,"5","4","3"
"633",2,"1","1","1"
"634",2,"4","1","5"
"635",2,"3","4","5"
"636",2,"5","4","2"
"637",2,"1","3","1"
"638",2,"5","2","3"
"639",2,"5","2","4"
"640",2,"5","4","5"
"641",2,"1","1","2"
"642",2,"5","1","5"
"643",2,"5","3","4"
"644",2,"5","4","5"
"645",2,"5","2","6"
"646",2,"5","2","3"
"647",2,"5","3","5"
"648",1,"3","4","6"
"649",2,"5","4","3"
"650",2,"5","2","6"
"651",2,"6","4","5"
"652",2,"5","5","7"
"653",2,"6","1","5"
"654",2,"5","1","3"
"655",2,"5","1","2"
"656",2,"6","2","5"
"657",2,"5","2","6"
"658",2,"6","3","6"
"659",2,"5","3","5"
"660",2,"4","3","6"
"661",2,"5","1","5"
"662",2,"5","4","5"
"663",2,"5","2","5"
"664",2,"5","4","5"
"665",2,"5","1","3"
"666",2,"6","4","6"
"667",2,"5","2","5"
"668",2,"5","4","4"
"669",2,"5","2","5"
"670",1,"6","3","3"
"671",1,"2","3","6"
"672",2,"1","2","3"
"673",2,"1","3","5"
"674",2,"1","1","5"
"675",2,"1","1","3"
"676",2,"5","2","7"
"677",2,"1","1","5"
"678",2,"6","4","5"
"679",2,"5","1","5"
"680",2,"5","2","3"
"681",2,"5","1","2"
"682",1,"5","2","2"
"683",2,"5","2","4"
"684",2,"1","1","2"
"685",2,"1","2","2"
"686",2,"1","2","3"
"687",2,"1","3","3"
"688",2,"1","2","2"
"689",2,"6","3","5"
"690",2,"1","4","4"
"691",1,"5","4","5"
"692",2,"6","3","3"
"693",2,"5","1","3"
"694",2,"5","2","2"
"695",2,"5","4","6"
"696",2,"4","2","2"
"697",2,"1","4","4"
"698",2,"6","1","3"
"699",2,"5","",""
"700",2,"5","1","3"
"701",1,"5","1","4"
"702",0,"1","1","5"
"703",2,"6","2","3"
"704",2,"5","2","2"
"705",2,"1","2","5"
"706",2,"1","2","2"
